,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAY_OR_NOT,AIRPORT_x,CITY_x,STATE_x,LATITUDE_x,LONGITUDE_x,AIRPORT_y,CITY_y,STATE_y,LATITUDE_y,LONGITUDE_y,Percentage Delayed,Departure Delay Mean,Arrival Delay Mean,DATE
183535,2015,3,9,1,OO,Skywest Airlines Inc.,2880,N863AS,LAX,SAN,13:00:00,12:57:00,-3.0,24.0,13:21:00,50.0,56.0,27.0,109,13:48:00,5.0,13:50:00,13:53:00,3.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,40.92041526046242,28.434892858487842,30.50851734223773,2015-03-09
217897,2015,3,25,3,WN,Southwest Airlines Co.,4475,N205WN,LAX,SAT,08:05:00,08:08:00,3.0,10.0,08:18:00,160.0,160.0,144.0,1211,12:42:00,6.0,12:45:00,12:48:00,3.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,San Antonio International Airport,San Antonio,TX,29.53369,-98.46978,40.92041526046242,28.434892858487842,30.50851734223773,2015-03-25
1814721,2015,12,16,3,MQ,American Eagle Airlines Inc.,3358,N634MQ,ORD,RST,09:50:00,10:29:00,39.0,18.0,10:47:00,69.0,70.0,48.0,268,11:35:00,4.0,10:59:00,11:39:00,40.0,0,0,,1.0,0.0,39.0,0.0,0.0,True,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,Rochester International Airport,Rochester,MN,43.90883,-92.49799,39.62481286116047,37.05203873553376,39.5671030446412,2015-12-16
431381,2015,9,18,5,WN,Southwest Airlines Co.,2054,N365SW,DEN,PHX,19:55:00,19:55:00,0.0,12.0,20:07:00,110.0,110.0,91.0,602,20:38:00,7.0,20:45:00,20:45:00,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Denver International Airport,Denver,CO,39.85841,-104.667,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,41.19048226263038,30.891128832532566,32.91439645351429,2015-09-18
2089873,2015,9,25,5,HA,Hawaiian Airlines Inc.,306,N480HA,HNL,OGG,07:30:00,07:25:00,-5.0,12.0,07:37:00,39.0,42.0,22.0,100,07:59:00,8.0,08:09:00,08:07:00,-2.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241,Kahului Airport,Kahului,HI,20.89865,-156.43046,35.81719633095525,14.801138200866585,19.114984155726574,2015-09-25
2567628,2015,5,23,6,DL,Delta Air Lines Inc.,2624,N590NW,MCO,SLC,07:25:00,07:24:00,-1.0,13.0,07:37:00,280.0,270.0,247.0,1931,09:44:00,10.0,10:05:00,09:54:00,-11.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Orlando International Airport,Orlando,FL,28.42889,-81.31603,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,37.23666900938891,35.90524125248028,37.849247447127716,2015-05-23
1262318,2015,2,25,3,UA,United Air Lines Inc.,1424,N37427,SFO,LAS,19:31:00,19:33:00,2.0,14.0,19:47:00,92.0,86.0,61.0,414,20:48:00,11.0,21:03:00,20:59:00,-4.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,37.954705151072915,32.84568142979208,33.873825121048135,2015-02-25
3032387,2015,3,3,2,WN,Southwest Airlines Co.,397,N958WN,ATL,MKE,20:35:00,21:42:00,67.0,13.0,21:55:00,130.0,115.0,97.0,669,22:32:00,5.0,21:45:00,22:37:00,52.0,0,0,,0.0,0.0,6.0,46.0,0.0,True,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,General Mitchell International Airport,Milwaukee,WI,42.94722,-87.89658,33.119976011717355,30.210617034612437,31.051239640643498,2015-03-03
762741,2015,5,8,5,DL,Delta Air Lines Inc.,1211,N3730B,SLC,LAX,20:05:00,20:32:00,27.0,16.0,20:48:00,120.0,111.0,84.0,590,21:12:00,11.0,21:05:00,21:23:00,18.0,0,0,,0.0,0.0,18.0,0.0,0.0,True,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,31.977162843328877,22.10020910406949,25.83927939520669,2015-05-08
2029270,2015,7,8,3,AA,American Airlines Inc.,2383,N4WPAA,DFW,JAX,07:00:00,07:08:00,8.0,18.0,07:26:00,147.0,146.0,124.0,918,10:30:00,4.0,10:27:00,10:34:00,7.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,Jacksonville International Airport,Jacksonville,FL,30.49406,-81.68786,38.84517284419602,32.11307412900037,34.16857953446386,2015-07-08
